"","CLAY","SILT","SAND","field_name","sample_uuid","TEXCLASS"
"211",13.5757575757576,30.010101010101,56.4141414141414,"523 clone","5594447d-be32-44ba-86a4-5cf8fe3e1f37","SL"
"212",27.65,47.145,25.205,"James Rodman_Courtney's_Big Field_2019_296L4_1","55b3e048-4eaf-48fb-af0a-24f42b624192","CL"
"213",27.72,40.76,31.52,"Hamblock South Field","56828ff9-f07c-4ee2-8ce5-0a30530a672e","CL"
"214",13.45,77.1,9.45,"1-0003CECILOLDBARN","569c1843-f186-44ec-88a4-39d020158c07","SIL"
"215",28.9,62.72,8.38,"Home farm","5794dae7-92e2-4122-9d42-b37251700445","SICL"
"216",22.4,41.6,36,"523 clone","58a08792-2b42-4d55-91bd-b65e454525b2","L"
"217",13.45,77.1,9.45,"1-0003little30","58c21b79-9a10-494f-8caf-68cd4f45ad4b","SIL"
"218",29.34,62.66,8,"Pine Creek","58d4df3d-01b6-487c-a566-1c54b2b2ac4e","SICL"
"219",21.375,37.79,40.835,"Home Farm West","58dc9367-8cd4-4bef-9263-fd56ce618a0b","L"
"220",10.275,14.615,75.11,"Farmington 220","58f62b9a-e526-4971-b7fc-88ec13c24b4e","SL"
"221",16.8,33.6,49.6,"526 clone","59067677-aaf6-4ddd-aa85-b2dd8321a03a","L"
"222",17.17,28.55,54.28,"Haelys","5a7a6a7f-8f30-42c4-a4b5-ab77be39c7ed","SL"
"223",28.26,40.56,31.18,"Gisser Farm - Gisser North","5a7b2ba6-66cc-4504-aeec-dd5b072fe8bd","CL"
"224",4,15,81,"Smith Shrader East Yield","5a9cfc13-513e-4231-a558-f381b5ab568e","LS"
"225",6.75,9.1245,84.1255,"field-ne-001","5ba6d8ec-89d6-4f70-b3a0-681aaa2fd132","LS"
"226",22,76,2,"StephenFarms_HomeFarm","5bed8464-2d71-4d73-aa54-402e36b5934f","SIL"
"227",28.48,63.81,7.71,"house","5c0c358b-27e2-4a7d-983b-0c51a19190ca","SICL"
"228",11.34,21.34,67.32,"523 clone","5c30e9c1-34cd-4230-9422-25887510a5b0","SL"
"229",4.66,8.32,87.02,"Haelys","5ccdb277-5455-4bce-ac75-ba7e09d62188","LS"
"230",21.29,38.24,40.47,"home north 99","5d0a3007-47c2-453d-a48a-c64ca0880ee6","L"
"231",25.065,67.135,7.8,"house","5d213e3f-ec79-4b70-a712-a14913060005","SIL"
"232",31.4991919191919,50.6979797979798,17.8028282828283,"Eldons","5d9ec559-370e-4963-aac5-ce3fdf100b9a","SICL"
"233",23.58,46.85,29.57,"fallow syndyome study","5dbe450d-d363-4d42-8976-5a676fe97d59","L"
"234",9.49,29.7,60.81,"Home farm","5df637de-3b79-40a0-93f6-e14a44ddfaac","SL"
"235",28.9,67.6,3.5,"north bins","5e61f175-07b5-4e1e-8638-942648b0684c","SICL"
"236",30.16,42.08,27.76,"Haelys","5e663007-5d49-4b5a-9ec9-9effec32b51e","CL"
"237",28.48,63.81,7.71,"house","5e6a5393-c284-4c5a-a709-a3949e5ef9ea","SICL"
"238",12.8,40.2,47,"Baired","5feb0155-d341-434a-8702-4a46ffd073c9","L"
"239",30.56,64.91,4.53,"Rose's North of Creek_NO Product_1_poly","600db29d-df77-4e3a-8865-67149f965cab","SICL"
"240",31.97,66.291,1.739,"Maytown North 80_NO Product_1_poly","603a277f-c98f-4431-aa52-fc85d137e8da","SICL"
"241",28.4,61.6,10,"home 141","627cc76d-1254-4efb-a0e7-df7f7a876214","SICL"
"242",4.58,10.94,84.48,"Smith Eiler North Ditch","62ae4ad9-4b22-4f73-b2bd-d4ee14840ff6","LS"
"243",16,76,8,"Burrus Seed Farms - HBK  - Boundary","62cb4461-47da-4232-b4ec-bfe45cd8f988","SIL"
"244",41.954,40.508,17.538,"Greg's","63bd4dcd-20f2-4370-8c57-ed91a06deb64","SIC"
"245",20.5,73.5,6,"1-000393acfield","63e566f8-bcf1-4e8b-9bfd-f95fccb5d960","SIL"
"246",19.635,40.267,40.098,"Farmington 220","64b4f4bc-eccc-4a18-929a-9de9c1bf8ff9","L"
"247",30.16,42.08,27.76,"MCCOY, SARAH-SALLY'S S 80-Soybeans","64d1c763-24ab-4df4-ab89-580b90a3316c","CL"
"248",33.020202020202,55.1111111111111,11.8686868686869,"F1","6535585e-25ab-4d56-9557-95c4fddc4686","SICL"
"249",28.525,69.145,2.33,"cental il college","65906415-58e0-48a8-b53d-7fc66918f5ae","SICL"
"250",33.020202020202,55.1111111111111,11.8686868686869,"paul jacobsons","67095115-fbd8-4ee7-a707-db7762026e64","SICL"
"251",13.45,77.1,9.45,"1-0008DARKBARNHILL","671824f7-acc7-44f7-8f09-647f0f84b655","SIL"
"252",30.69,64.64,4.67,"west 85","672623b8-15a5-4465-8237-06dd4db26d2f","SICL"
"253",24.88,43.68,31.44,"south of ditch","672eb480-8f37-43d2-afd9-9ee06a95edc9","L"
"254",23.58,46.85,29.57,"LT Till - CoC Conv Till","677f551c-438c-4596-a673-7f0691fa0d36","L"
"255",13.5757575757576,30.010101010101,56.4141414141414,"523 clone","679b5226-ad41-4f2d-9ffb-ccfa10a369a9","SL"
"256",28.48,63.81,7.71,"house","679c37f4-95b7-47d8-b8bb-7b385ea9d175","SICL"
"257",19.86,73.14,7,"StephenFarms_BradKuegel","67e381b9-123c-4f41-a5cc-70aeefe55e83","SIL"
"258",18,77,5,"1-000393acfield","68acecd3-e403-4f7d-9ef2-f81e624ce2f3","SIL"
"259",31.97,66.291,1.739,"west field","68fcc7f3-1f9c-4234-b027-24cd84f2a6f5","SICL"
"260",24.5,58.5,17,"SEED-516-Soybeans","68fddcdf-f8ad-4e73-813f-04e46adb7bb9","SIL"
"261",28.48,63.81,7.71,"house","6960fb1b-23c1-4f6a-aa29-b60b69feabee","SICL"
"262",23.58,46.85,29.57,"LT Till - CoC No Till","698fb6e8-4c91-4165-89bb-c00da4b12fc4","L"
"263",30.69,64.64,4.67,"west 85 clone","6a17ecb4-370a-4997-bd60-951b1ddfe8ae","SICL"
"264",12.8,40.2,47,"3-4-5","6a3ff1ca-9e6c-47db-84ef-85326b4852a0","L"
"265",26.8,69.2,4,"wales","6af79de7-426c-4dfa-98d9-fa62800f00d1","SIL"
"266",28.9,67.6,3.5,"north bins","6b705e16-d426-437e-9754-d8a0cd42935a","SICL"
"267",15,76,9,"Burrus Seed Farms - OS  - Boundary","6bb9f1ef-2755-48ea-a0dd-e610ca8356bf","SIL"
"268",30.69,64.64,4.67,"488 clone","6d7d655f-e38f-4ffb-93ed-c2910394a090","SICL"
"269",41.954,40.508,17.538,"Husteds South","6e1cbfaf-a0c8-4e64-b8ea-34fa7d56f050","SIC"
"270",23.58,46.85,29.57,"LT Till - CoC No Till","6ed942d1-07de-4d90-828a-fc52f63a09ba","L"
"271",30.56,64.44,5,"north bins","6f26b3b2-b1d1-4514-ba84-16b4c16e1634","SICL"
"272",13.45,77.1,9.45,"1-000840ac","6f454fa2-62d8-4cde-b48e-aae454e18611","SIL"
"273",28.48,63.81,7.71,"scn","701a40a5-e6da-454d-b32b-5a51e92f9f0d","SICL"
"274",30.69,64.64,4.67,"east 80","70ff96fd-1776-4914-895a-c937b85217cf","SICL"
"275",16,76,8,"Burrus Seed Farms - HWT  - Boundary","717a43a7-65e9-45ee-9bdb-fa3003088af1","SIL"
"276",11.47,16.41,72.12,"Smith Carlson Big Yield","71d9dc3c-db90-4205-8d44-7b3231309316","SL"
"277",11.47,16.41,72.12,"Smith Eiler North Ditch","7200dfce-a4ba-4e31-b64e-b155d10f6cbb","SL"
"278",24.38,68.02,7.6,"house","720b6126-68ca-4c74-92ec-42012ad79cb3","SIL"
"279",28.48,63.81,7.71,"house","7237855a-97e7-4667-ae1a-0ee80abb8d97","SICL"
"280",4,15,81,"Smith Shrader East Yield","7290fc98-612b-4c15-b52d-108086195089","LS"
"281",28.115,67.62,4.265,"Dorris 80","72b19706-3434-4278-87e5-aadbd524b995","SICL"
"282",38.9466666666667,47.7233333333333,13.33,"James Rodman_Courtney's_Big Field_2019_296L4_1","72d654da-5a55-4056-8140-03d999062830","SICL"
"283",25.83,49.88,24.29,"LT Till - CoC No Till","72e6e869-eeb1-4253-8d9d-a56f2919a567","L"
"284",22,71,7,"StephenFarms_BradKuegel","733b3c24-39b8-4f39-bf80-1de4ad4f4895","SIL"
"285",31,61,8,"Hamblock North Field","73f4b6c2-5a34-4c4f-b0be-9795441b148d","SICL"
"286",31.97,66.291,1.739,"Maytown Buildings_NO Product_1_poly","7437f3d0-67b5-47d0-8888-ff2bb995645c","SICL"
"287",12.8,23.8,63.4,"Gisser Farm - Gisser SE","7447dc52-df8b-4949-83bf-ff63d9afd6a5","SL"
"288",26.8,69.2,4,"Pine Creek","74508ea1-194d-4035-a289-2dfeeaa487d2","SIL"
"289",13.45,77.1,9.45,"1-000814ac","75a3b337-9234-49ed-a504-98064aeeff21","SIL"
"290",30.69,64.64,4.67,"north bins","767c675a-5a96-44e9-a5ce-cf3b41736be3","SICL"
"291",12.72,19.62,67.66,"Kelsey Cannon Harvest","76862c8a-3e9f-48c9-a7c6-037a83b5e198","SL"
"292",20.505,34.51,44.985,"yale","76eaeffb-9a4d-429e-a081-7f6e02e92032","L"
"293",26.81,55.47,17.72,"Sallys building","774b1e6a-61d1-4343-8dfb-5a3e22558f9c","SIL"
"294",26.8,69.2,4,"Sheep and Garsons","777e8e1e-a6e8-45e3-b4ea-24a0d7080f60","SIL"
"295",16.8,33.6,49.6,"BOB & WENDY Field 557","77d5fbe9-61d9-448b-a1fb-884bcf62196d","L"
"296",31.97,66.291,1.739,"west field","77e2ad8c-c23a-4c4c-b4a0-9eafcc43ad43","SICL"
"297",22,50.5,27.5,"SEED-516-Soybeans","780250d7-8c56-4105-b034-eae6939c4d93","SIL"
"298",41.954,40.508,17.538,"Rosener","78c5d577-46d8-4ff6-8d64-70d5b7af84bb","SIC"
"299",23.01,69.87,7.12,"CrabtreeField3","7918efb2-1115-4e55-938e-5e95f221afb8","SIL"
"300",14.8666666666667,25.68,59.4533333333333,"Zechiel Old Shop Harvest","794f4a3e-1ab5-488e-a74b-d7a4025d99ed","SL"
"301",25,56.6,18.4,"Home farm","7a55468c-514b-4799-b02e-a6cfc0256d4a","SIL"
"302",23.1852941176471,72.5147058823529,4.3,"south","7a707bd9-4904-4a05-b3ed-6a87c0177737","SIL"
"303",26.8,69.2,4,"Roses south of creek","7a995ae3-7121-4901-aa91-770fc2e95470","SIL"
"304",25.065,67.135,7.8,"scn","7af3aa77-df73-4f00-9e19-fb0c507445f6","SIL"
"305",19,77,4,"Home farm","7b7a6ba5-68d0-4d7d-b834-e0352f76fe4e","SIL"
"306",23.3,52.49,24.21,"Buds house","7c207039-e69d-44bf-9f16-1046c90abac9","SIL"
"307",24.38,68.02,7.6,"house","7c2be6b0-675d-427c-a215-9952c9954b96","SIL"
